Date;Hour;WS01;WS02;WS03;WS04;WS05;WS06;WS07;WS08;WS09;WS10;WS11;WS12;WS13;WS14;WS15;WS16;WS17;WS18;WS19;WS20;WS21;WS22;WS23;WS24;WS25;WS26;WS27;WS28;WS29;WS30;WS31;WS32;WS33;WS34;WS35;WS36
01/01/2018 00:00;0;66987.1926;48226.675;75145.3046;58631.281;58997.6366;48493.6182;70898.4192;58978.4316;55554.5472;48726.971;49146.0452;72422.936;48101.955;46947.628;60129.3372;48742.4946;61119.6036;48870.581;68399.8966;82566.9676;57664.7012;47641.0926;48607.6746;67934.0306;64296.8346;49571.118;47627.5082;77999.8862;66984.1347;68584.595;50484.0476;52584.416;79195.2986;48677.1496;60464.9642;50070.145
01/01/2018 01:00;1;65892.1502;49765.374;72443.869;56523.3812;56891.58;50532.4076;67905.61;56585.404;54439.5622;50257.813;50759.3367;69422.0403;49134.305;47365.5116;57209.8532;50262.6666;58613.697;50492.244;65113.4466;83556.5142;55071.4836;49324.2966;49848.967;64578.025;60867.8356;50578.0406;49365.979;76802.1222;64861.8256;66976.3216;51464.7686;52677.8722;77931.63;50225.355;57462.9623;51054.0976
01/01/2018 02:00;2;65747.3786;50552.8505;72726.8131;57327.5796;56837.8166;51037.0623;67151.549;56629.8736;55443.8977;50964.8456;51513.6762;69611.3432;50507.1206;49214.6405;57617.7907;51011.6773;58890.1246;51404.4275;65464.3527;80765.9024;56118.3122;50282.7815;50893.8507;64893.7999;63288.3335;51326.3671;49634.8307;75801.3682;65171.0109;65783.1063;52290.7735;52995.0077;76930.4562;50708.348;58334.7401;51827.5312
01/01/2018 03:00;3;61108.0968;51970.2592;64123.8431;56782.3269;56398.8543;53164.4443;61961.0388;55787.063;53954.0189;52663.6503;53292.834;63652.7629;52029.3631;47335.1809;55982.5131;52525.4691;57284.8616;52752.3992;61433.1187;69347.4462;55210.3062;49467.3825;50420.1685;60338.53;58312.7199;52799.0132;49647.6943;66134.987;61441.0991;61756.2072;53793.7764;53548.0421;66299.0295;52211.4338;56660.0021;53351.8332
01/01/2018 04:00;4;59174.7099;51175.8309;62918.8018;55449.8306;55466.2899;51512.991;60473.4796;54592.6344;53439.4483;52000.8099;52982.1155;62214.6671;49789.7545;49128.34;54647.5456;51703.3544;55409.9203;51800.4789;60402.5362;67476.4771;54047.4142;49332.6658;50682.3113;59139.7681;56297.562;52310.3632;49151.4919;64610.4139;60097.9837;60245.8602;53591.9934;52878.8204;64915.8219;51922.083;55121.3347;52957.0912
01/01/2018 05:00;5;58089.6443;50908.0918;61776.9253;56228.2824;55670.6122;51609.743;59158.6376;55820.733;54135.597;51385.4507;52092.5536;60349.7275;50455.5973;49822.5668;55211.8926;51528.8565;56520.0874;51863.6616;58446.3348;66798.3936;55288.9453;50166.4151;50962.4386;58103.4571;56887.3085;51885.8289;50114.468;63029.7239;58669.8427;58810.9813;54104.2656;53431.5695;64193.316;51444.7571;56355.1007;53387.732
01/01/2018 06:00;6;57840.6079;52861.2111;62059.0883;56310.6459;55895.4816;54346.5263;59236.7864;55248.7575;54171.9807;52886.4302;53806.7218;61118.1784;52311.5398;51735.8904;55475.0101;53510.0189;56417.7275;54110.4819;58824.962;66799.4489;54733.7521;51823.7226;52912.3192;57763.2212;56881.6314;53261.632;50923.3811;63228.8417;58795.2162;58835.1843;54740.1517;54350.2875;64463.3676;53250.6409;56496.85;53793.3112
01/01/2018 07:00;7;58871.04;53536.8409;63893.2441;58543.7088;57058.2935;54320.3992;60535.9773;56511.9844;55448.3299;53339.5783;54046.5145;63016.8144;52524.0264;52640.1626;56864.5538;53439.3567;58138.1492;55355.2701;60232.099;68372.8646;56166.7562;52582.8733;53708.5154;59327.5534;58217.8849;54371.0051;51538.1505;64676.6059;59958.8024;59917.5769;55274.2215;54704.1074;65631.822;53733.3842;58030.8977;55131.7302
01/01/2018 08:00;8;61101.4928;56208.1185;66083.5746;61078.4984;59660.2393;56731.4762;63656.1711;59353.2773;58102.6431;56715.6843;57441.4214;65100.5295;55603.3707;55535.5176;59315.2382;56712.9222;60255.2467;57657.2793;62004.0384;70949.3755;59147.4941;55638.8723;55886.4335;62733.1417;60892.9751;56878.6809;54964.9993;67157.3824;63094.9166;63047.9332;57791.4207;58105.4664;68157.6593;57430.2868;61819.8078;57251.0739
01/01/2018 09:00;9;64288.5622;59606.2816;69333.9574;63826.7993;61753.118;60455.9864;66136.6507;62837.7198;61462.3196;60021.146;60321.5608;69271.8102;59362.0554;59497.5387;63035.5904;60050.7715;63864.4313;62145.7894;66105.8693;73930.075;62252.8913;58913.5562;60054.2291;65833.7269;64472.963;60510.9055;58101.0426;69656.4083;66350.2939;66804.478;61611.895;61051.6145;71348.5112;60661.9898;64778.2285;60615.8781
