Date;Hour;WS01;WS02;WS03;WS04;WS05;WS06;WS07;WS08;WS09;WS10;WS11;WS12;WS13;WS14;WS15;WS16;WS17;WS18;WS19;WS20;WS21;WS22;WS23;WS24;WS25;WS26;WS27;WS28;WS29;WS30;WS31;WS32;WS33;WS34;WS35;WS36
01.01.;1;0.224868882;0.619424069;0.188043065;0.460176223;0.881338538;0.843061485;0.587412856;0.599801698;0.873246686;0.664361955;0.858755541;0.310823986;0.132005622;0.902269456;0.780121271;0.807706428;0.152116388;0.836902921;0.947792644;0.05003905;0.845531284;0.852944324;0.882005735;0.492276085;0.823533329;0.50311414;0.515266292;0.591322816;0.60079055;0.899850623;0.887201444;0.874101734;0.520014706;0.833288831;0.276628527;0.47212711
01.01.;2;0.243464954;0.680214808;0.201574378;0.476997207;0.874169726;0.854393342;0.608670489;0.581417537;0.863815687;0.711125426;0.885758336;0.303050542;0.129819233;0.902392783;0.768507085;0.803203404;0.126840182;0.807531528;0.946135678;0.045660369;0.852386975;0.802243412;0.885296231;0.470806525;0.81575971;0.483041032;0.532532411;0.601879556;0.620359066;0.904258945;0.849942011;0.850317494;0.504811559;0.825745597;0.286640194;0.464512557
01.01.;3;0.315516355;0.731483;0.223534185;0.496046329;0.872221542;0.867072318;0.625909944;0.563933872;0.85437166;0.759372193;0.879748923;0.300906214;0.126923003;0.902746652;0.735786011;0.804733913;0.107236842;0.744830095;0.94291178;0.0449547;0.840234397;0.731691389;0.88081493;0.443614121;0.810464976;0.467775173;0.550738169;0.617337982;0.647617758;0.900194665;0.821342174;0.793123266;0.484823214;0.821016338;0.297706022;0.442584998
01.01.;4;0.416270613;0.773707087;0.262007323;0.535727344;0.861577737;0.88770078;0.654021631;0.547599337;0.836866652;0.789572676;0.876029073;0.314889632;0.12380619;0.902789;0.698915868;0.810092199;0.098389077;0.663901696;0.945450415;0.043452618;0.793832679;0.652883364;0.881071799;0.417780128;0.801709802;0.458848026;0.596058067;0.642021599;0.6696033;0.898050118;0.806388633;0.733066771;0.500773638;0.823162609;0.30346048;0.423741399
01.01.;5;0.48164946;0.815118716;0.320414749;0.57317287;0.849801442;0.905167879;0.680650856;0.540266595;0.806351923;0.79064741;0.873066685;0.339449337;0.116880773;0.902789;0.677260916;0.811477017;0.092025732;0.601398874;0.945347514;0.0435525;0.727652833;0.597463244;0.881351045;0.383890657;0.791511675;0.451353054;0.628585528;0.681549123;0.709444856;0.899190614;0.798139097;0.697834373;0.53462892;0.830449164;0.312740906;0.439663882
01.01.;6;0.554277651;0.848064184;0.388093529;0.628486435;0.832184959;0.914279861;0.711732187;0.520411836;0.753425575;0.785446653;0.861951954;0.351837675;0.106543272;0.893977184;0.650956401;0.81237633;0.084902274;0.522366559;0.947078294;0.045949826;0.624890375;0.553232184;0.880630626;0.348654434;0.775364809;0.44945032;0.664104629;0.711894994;0.742809151;0.901092816;0.785204301;0.707787952;0.585649731;0.840204583;0.327383502;0.49207152
01.01.;7;0.614072281;0.868902533;0.479071096;0.686320502;0.821272828;0.914107662;0.751324017;0.495543906;0.688486311;0.78896887;0.847846133;0.358497424;0.095899776;0.897946532;0.617707195;0.815028694;0.089856792;0.437217795;0.951727315;0.047020279;0.531895498;0.53336523;0.88307182;0.31330773;0.754665233;0.445879161;0.686529566;0.73303682;0.777014893;0.896647478;0.759109877;0.729010522;0.634513952;0.855893005;0.332200054;0.554298138
01.01.;8;0.653248463;0.86432863;0.555555891;0.721574437;0.806260445;0.914752083;0.772763107;0.470881209;0.59889298;0.793449657;0.82916458;0.365177669;0.083304211;0.897946532;0.574527823;0.819467301;0.090905762;0.344685179;0.960848928;0.047302371;0.444006633;0.503779034;0.885830536;0.30012398;0.739475214;0.430472854;0.699790684;0.750815655;0.802432963;0.898365742;0.71647821;0.750715785;0.64948963;0.86411481;0.345630085;0.577122234
01.01.;9;0.675130752;0.849536857;0.613407664;0.746505309;0.79362389;0.913397022;0.782202209;0.430655128;0.505809034;0.800286362;0.788952166;0.363912659;0.076068637;0.9068065;0.524868466;0.820682367;0.089489223;0.270564133;0.96685426;0.050264561;0.374617748;0.478349178;0.883988036;0.292309181;0.709734903;0.42711912;0.698377962;0.756077534;0.820103097;0.89774945;0.639580616;0.769848939;0.662460613;0.864103375;0.363270528;0.582520723
01.01.;10;0.682928344;0.829779633;0.660206054;0.765117877;0.782715414;0.909451968;0.773616999;0.392854895;0.43088232;0.796482152;0.742693599;0.358206395;0.06936257;0.903934343;0.464231986;0.822190069;0.086675501;0.217815933;0.967379823;0.055835505;0.332825606;0.451172218;0.880801347;0.290371653;0.67130783;0.435440395;0.699446454;0.758540983;0.829899647;0.895389308;0.54484671;0.782206409;0.666566224;0.863873782;0.387029858;0.605939765
