Date;Hour;WS01;WS02;WS03;WS04;WS05;WS06;WS07;WS08;WS09;WS10;WS11;WS12;WS13;WS14;WS15;WS16;WS17;WS18;WS19;WS20;WS21;WS22;WS23;WS24;WS25;WS26;WS27;WS28;WS29;WS30;WS31;WS32;WS33;WS34;WS35;WS36
01.01.;1;0.186815391;0.422191007;0.063673339;0.241098365;0.634569787;0.725151229;0.120852118;0.328377619;0.753132442;0.310815507;0.768253097;0.13719795;0.161303194;0.860215803;0.318834143;0.450493697;0.018850024;0.81141607;0.430093541;0.117661168;0.616740289;0.638997924;0.783374994;0.111889863;0.509532865;0.374400947;0.506012905;0.199674019;0.206113231;0.617866951;0.797493464;0.731192053;0.05846663;0.552307627;0.056060219;0.666380977
01.01.;2;0.143312586;0.42490352;0.064790943;0.237442311;0.602091815;0.712756656;0.128061052;0.309225613;0.733223735;0.334785661;0.758147564;0.144695312;0.15833912;0.860304798;0.310114491;0.447964942;0.016067802;0.794607533;0.494675353;0.116847752;0.615753024;0.606605705;0.792749844;0.118973016;0.522511401;0.376089773;0.499307124;0.218751469;0.217128966;0.614226806;0.806449196;0.700348048;0.058051652;0.547138777;0.065436448;0.65118471
01.01.;3;0.108812171;0.424099316;0.066949463;0.234784931;0.563024648;0.692625176;0.135265212;0.295499868;0.695101189;0.375791913;0.754918046;0.160165938;0.15371458;0.86083795;0.293512832;0.447236592;0.014650752;0.76989361;0.557321251;0.116116186;0.612706606;0.558883857;0.801456075;0.125409905;0.524132523;0.371781398;0.494087566;0.243211129;0.228092568;0.60182674;0.81943527;0.66273037;0.05804644;0.534565165;0.077302703;0.632535054
01.01.;4;0.086368013;0.429877077;0.06876612;0.245803876;0.534744914;0.674056818;0.144774631;0.286460249;0.649649853;0.427051753;0.755831069;0.179462595;0.149184009;0.859393944;0.28221444;0.446734454;0.014126565;0.737600901;0.612904277;0.115243406;0.614653283;0.503661028;0.811089388;0.129068699;0.532915075;0.367630928;0.497965849;0.27008446;0.244378966;0.589367006;0.824286942;0.630962042;0.05922429;0.522650923;0.087309016;0.615378825
01.01.;5;0.07589552;0.440767098;0.06902504;0.277223714;0.511710687;0.652995506;0.155944877;0.28185364;0.610761332;0.479841945;0.752583457;0.191043594;0.143131786;0.859150201;0.268412793;0.447618749;0.014720615;0.706286612;0.657582613;0.112851451;0.612158974;0.441582385;0.821427878;0.127110177;0.546222071;0.360569156;0.508402525;0.294830606;0.26578308;0.581370082;0.830063885;0.603909826;0.06142484;0.509264806;0.091296765;0.601432518
01.01.;6;0.07601578;0.450115097;0.075141359;0.321485099;0.494357308;0.626722211;0.164933166;0.279890389;0.570000901;0.526044077;0.747090863;0.196449517;0.134499319;0.859016714;0.254239589;0.448111011;0.014745199;0.672575934;0.695735603;0.105823787;0.606849824;0.380297129;0.831188181;0.130161581;0.560660149;0.345559681;0.521225263;0.320496837;0.291446143;0.571601274;0.830994137;0.585155403;0.066281802;0.494526683;0.093075449;0.598301541
01.01.;7;0.088456121;0.451094409;0.089017813;0.366111894;0.476146446;0.59069389;0.163985022;0.272921142;0.53847899;0.554565974;0.739027592;0.192460481;0.122563563;0.848614302;0.242658297;0.44666966;0.014538793;0.637623806;0.725996555;0.093679733;0.604630507;0.318413208;0.836477323;0.132136181;0.567509552;0.333850523;0.53768749;0.347938518;0.317920362;0.565161341;0.826838593;0.568157341;0.07457467;0.485584305;0.094588425;0.607324438
01.01.;8;0.115051541;0.430686808;0.107077878;0.403940397;0.448555882;0.545247148;0.156702121;0.25696812;0.502723466;0.570604032;0.728778318;0.175079592;0.108070143;0.837816566;0.231572257;0.442039038;0.01425016;0.595046594;0.756501056;0.076332592;0.59756036;0.257428279;0.837815384;0.13925334;0.568174866;0.320857227;0.555332002;0.382200798;0.345925626;0.558240567;0.808892417;0.558083845;0.088427697;0.484340301;0.098599559;0.62941684
01.01.;9;0.151477428;0.3925591;0.133483868;0.430185499;0.419133037;0.48791459;0.15390896;0.242236599;0.463343098;0.561013917;0.705149071;0.152168187;0.094293563;0.82425411;0.217229973;0.434621231;0.0164024;0.53990023;0.775449285;0.062644936;0.581284351;0.206608363;0.833190573;0.149932425;0.552233099;0.304217215;0.560751027;0.405538599;0.367155556;0.537751567;0.782314143;0.546130751;0.105764541;0.477500817;0.102188247;0.649032946
01.01.;10;0.172873611;0.345269383;0.15113071;0.422751815;0.389652007;0.427115348;0.151798098;0.222379592;0.418856898;0.523832707;0.652037455;0.125966494;0.083546145;0.828715623;0.194898126;0.427267927;0.018169906;0.462723163;0.787866228;0.049908328;0.547333303;0.177349682;0.819942378;0.152022584;0.510008271;0.271010829;0.534562453;0.397080912;0.360066915;0.487279678;0.730814796;0.514155386;0.118794466;0.446809132;0.097063087;0.64452756
