Date;Hour;WS01;WS02;WS03;WS04;WS05;WS06;WS07;WS08;WS09;WS10;WS11;WS12;WS13;WS14;WS15;WS16;WS17;WS18;WS19;WS20;WS21;WS22;WS23;WS24;WS25;WS26;WS27;WS28;WS29;WS30;WS31;WS32;WS33;WS34;WS35;WS36
01.01.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.;9;0.008785799;0.008097782;0.006464664;0.002439917;0.017378471;0.008048299;0.023731715;0.003846895;0.001550058;0.007675344;0.001054268;0.002939593;0.002529004;0.003414001;0.004326824;0.001586121;0.001729679;0.001391951;0.013502771;0.006749977;0.006758964;0.003711432;0.002139847;0.006124094;0.002157221;0.008268378;0.000368215;0.003641373;0.011820263;0.007997118;0.001997649;0.00218198;0.019743579;0.009349186;0.00778128;0.00253409
01.01.;10;0.084474202;0.085722705;0.083322721;0.033853398;0.14914792;0.078733132;0.182696747;0.050743784;0.019823186;0.075647837;0.015797331;0.042717833;0.019458592;0.048872141;0.041358132;0.0244234;0.017311739;0.022872081;0.106162112;0.084670918;0.056790846;0.045798139;0.021657737;0.06394161;0.026233737;0.068982929;0.006972586;0.047147903;0.094085967;0.073114047;0.02123028;0.024052437;0.147723792;0.068506908;0.067338377;0.019610082
