x1;x2;Technology;x3;x4
7.318244910275307e7;7.478075130446783e7;CCGT;0.0;36.80244336153134
7.33118226711292e7;0.0;OCGT;0.0;16.70958826908607
7.673312505272084e7;0.0;SMR;0.0;5.10521970719503
7.311634026315138e7;0.0;PtG;0.0;13.841398383916857
7.04939266068008e7;0.0;H2T;0.0;0.00023868456880810074
7.15947032008279e7;0.0;PV;0.0;315.991408892582
7.55374768367185e7;0.0;ONWIND;0.0;118.23815616020536
7.491718384434836e7;0.0;OFFWIND;0.0;22.97867632798227
7.104856008612542e7;0.0;UHS;0.0;492.88408931100093
7.239864890869758e7;0.0;BESS_E;0.0;337.0803880618519
0.0;0.0;BESS_P;0.0;46.83955222699832
