x1;x2;Technology;x3;x4
7.586919037792459e7;6.953817877254313e7;CCGT;0.0;34.896730387446084
6.943425154386e7;0.0;OCGT;0.0;16.190449122584365
6.8810698358718e7;0.0;SMR;0.0;4.139241919620256
7.362335074581909e7;0.0;PtG;0.0;20.32377475558822
7.036685630406167e7;0.0;H2T;0.0;4.239091770582095
6.906927692468925e7;0.0;PV;0.0;314.89224758420045
7.177946478669548e7;0.0;ONWIND;0.0;129.1759478187437
6.743044901158728e7;0.0;OFFWIND;0.0;17.58800468145774
7.330429356390509e7;0.0;UHS;0.0;1892.4842737748895
6.859852174586055e7;0.0;BESS_E;0.0;413.40305009116025
0.0;0.0;BESS_P;0.0;56.851534693945574
